what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564326959
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367564327318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564333704
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1367564335225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564335336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564336655
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1367564337928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564338146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564341395
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1367564342873
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1367564343201
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367564344357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564345991
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1367564382339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564447188
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367564448478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367564449985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564452737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564472712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367564474169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564475231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564508785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367564509922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564510294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564581442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367564583141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564583798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564671798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367564672850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564673271
error,log,,,"GlassFish: deploy is failing=",1367564674669
error,log,,,"cannot Deploy Web",1367564674672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564678093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564679975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564687615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367564690016
error,log,,,"GlassFish: deploy is failing=",1367564691802
error,log,,,"cannot Deploy Web",1367564691802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564691931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564694950
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367564695544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564697058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564697903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564698404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564716977
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367564719180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367564720823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564721231
error,log,,,"GlassFish: deploy is failing=",1367564722538
error,log,,,"cannot Deploy Web",1367564722539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564724564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564731411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564731542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564753147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367564760572
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367564763268
